Career Key,Qualification Key,Qualification ID,Qualification Title,NQF Level,Career Family,Career Name,Match Type,Relevance Score,Career Source,Review Flag
C0026,Q0012,121911,Advanced Occupational Diploma: Business Banker,NQF LEVEL 07,Business & Management,Business Banker,Direct,5,Starter title-based mapping,
C0096,Q0012,121911,Advanced Occupational Diploma: Business Banker,NQF LEVEL 07,Business & Management,Relationship Officer,Related,4,Starter title-based mapping,
C0031,Q0012,121911,Advanced Occupational Diploma: Business Banker,NQF LEVEL 07,Business & Management,Client Service Consultant,Related,4,Starter title-based mapping,
C0317,Q0013,121968,Advanced Occupational Diploma: Chief Information Officer: Cybersecurity,NQF LEVEL 07,ICT & Data,Cybersecurity Analyst,Direct,5,Starter title-based mapping,
C0341,Q0013,121968,Advanced Occupational Diploma: Chief Information Officer: Cybersecurity,NQF LEVEL 07,ICT & Data,SOC Analyst,Related,4,Starter title-based mapping,
C0331,Q0013,121968,Advanced Occupational Diploma: Chief Information Officer: Cybersecurity,NQF LEVEL 07,ICT & Data,Information Security Officer,Related,4,Starter title-based mapping,
C0073,Q0014,121568,Advanced Occupational Diploma: Financial Administration Manager,NQF LEVEL 07,Business & Management,Office Administrator,Direct,5,Starter title-based mapping,
C0022,Q0014,121568,Advanced Occupational Diploma: Financial Administration Manager,NQF LEVEL 07,Business & Management,Administrative Assistant,Related,4,Starter title-based mapping,
C0075,Q0014,121568,Advanced Occupational Diploma: Financial Administration Manager,NQF LEVEL 07,Business & Management,Operations Administrator,Related,4,Starter title-based mapping,
C0784,Q0015,123002,Advanced Occupational Diploma: Fraud Examiner,NQF LEVEL 07,Quality & Risk Management,Fraud Examiner,Direct,5,Starter title-based mapping,
C0793,Q0015,123002,Advanced Occupational Diploma: Fraud Examiner,NQF LEVEL 07,Quality & Risk Management,Risk Investigator,Related,4,Starter title-based mapping,
C0781,Q0015,123002,Advanced Occupational Diploma: Fraud Examiner,NQF LEVEL 07,Quality & Risk Management,Compliance Investigator,Related,4,Starter title-based mapping,
C0247,Q0016,121152,Advanced Occupational Diploma: Human Resource Management Advisor,NQF LEVEL 07,HR & Training,HR Administrator,Direct,5,Starter title-based mapping,
C0248,Q0016,121152,Advanced Occupational Diploma: Human Resource Management Advisor,NQF LEVEL 07,HR & Training,HR Officer,Related,4,Starter title-based mapping,
C0249,Q0016,121152,Advanced Occupational Diploma: Human Resource Management Advisor,NQF LEVEL 07,HR & Training,Learning & Development Coordinator,Related,4,Starter title-based mapping,
C0773,Q0017,121166,Advanced Occupational Diploma: Senior Government Official,NQF LEVEL 07,Public Sector,Government Official,Direct,5,Starter title-based mapping,
C0777,Q0017,121166,Advanced Occupational Diploma: Senior Government Official,NQF LEVEL 07,Public Sector,Public Administration Officer,Related,4,Starter title-based mapping,
C0776,Q0017,121166,Advanced Occupational Diploma: Senior Government Official,NQF LEVEL 07,Public Sector,Programme Manager,Related,4,Starter title-based mapping,
C0199,Q0018,642701,Air-Conditioning and Refrigeration Mechanic,NQF LEVEL 04,Engineering & Trades,Refrigeration Mechanic,Direct,5,Starter title-based mapping,
C0167,Q0018,642701,Air-Conditioning and Refrigeration Mechanic,NQF LEVEL 04,Engineering & Trades,HVAC Technician,Related,4,Starter title-based mapping,
C0179,Q0018,642701,Air-Conditioning and Refrigeration Mechanic,NQF LEVEL 04,Engineering & Trades,Maintenance Technician,Related,4,Starter title-based mapping,
C0131,Q0019,653201,Aircraft Maintenance Mechanic,LISTED TRADE,Engineering & Trades,Aircraft Maintenance Mechanic,Direct,5,Starter title-based mapping,
C0133,Q0019,653201,Aircraft Maintenance Mechanic,LISTED TRADE,Engineering & Trades,Aircraft Technician,Related,4,Starter title-based mapping,
C0138,Q0019,653201,Aircraft Maintenance Mechanic,LISTED TRADE,Engineering & Trades,Aviation Maintenance Technician,Related,4,Starter title-based mapping,
C0132,Q0020,653202,Aircraft Structures Worker,LISTED TRADE,Engineering & Trades,Aircraft Structures Worker,Direct,5,Starter title-based mapping,
C0133,Q0020,653202,Aircraft Structures Worker,LISTED TRADE,Engineering & Trades,Aircraft Technician,Related,4,Starter title-based mapping,
C0139,Q0020,653202,Aircraft Structures Worker,LISTED TRADE,Engineering & Trades,Aviation Structures Technician,Related,4,Starter title-based mapping,
C0136,Q0021,671207,Armature Winder,LISTED TRADE,Engineering & Trades,Armature Winder,Direct,5,Starter title-based mapping,
C0155,Q0021,671207,Armature Winder,LISTED TRADE,Engineering & Trades,Electrical Winder,Related,4,Starter title-based mapping,
C0157,Q0021,671207,Armature Winder,LISTED TRADE,Engineering & Trades,Electromechanical Technician,Related,4,Starter title-based mapping,
C0137,Q0022,653109,Automotive Engine Mechanic,LISTED TRADE,Engineering & Trades,Automotive Technician,Direct,5,Starter title-based mapping,
C0185,Q0022,653109,Automotive Engine Mechanic,LISTED TRADE,Engineering & Trades,Motor Mechanic,Related,4,Starter title-based mapping,
C0214,Q0022,653109,Automotive Engine Mechanic,LISTED TRADE,Engineering & Trades,Workshop Technician,Related,4,Starter title-based mapping,
C0137,Q0023,653101,Automotive Motor Mechanic,LISTED TRADE,Engineering & Trades,Automotive Technician,Direct,5,Starter title-based mapping,
C0185,Q0023,653101,Automotive Motor Mechanic,LISTED TRADE,Engineering & Trades,Motor Mechanic,Related,4,Starter title-based mapping,
C0214,Q0023,653101,Automotive Motor Mechanic,LISTED TRADE,Engineering & Trades,Workshop Technician,Related,4,Starter title-based mapping,
C0141,Q0024,672101,Avionics Mechanician,LISTED TRADE,Engineering & Trades,Avionics Mechanician,Direct,5,Starter title-based mapping,
C0160,Q0024,672101,Avionics Mechanician,LISTED TRADE,Engineering & Trades,Engineering Assistant,Related,4,Starter title-based mapping,
C0483,Q0025,662301,Binder and Finisher,LISTED TRADE,Other / Review,Binder and Finisher,Direct,5,Starter title-based mapping,Review career mapping
C0486,Q0026,652101,Blacksmith,LISTED TRADE,Other / Review,Blacksmith,Direct,5,Starter title-based mapping,Review career mapping
C0143,Q0027,651302,Boiler Maker,LISTED TRADE,Engineering & Trades,Boilermaker,Direct,5,Starter title-based mapping,
C0213,Q0027,651302,Boiler Maker,LISTED TRADE,Engineering & Trades,Welder,Related,4,Starter title-based mapping,
C0163,Q0027,651302,Boiler Maker,LISTED TRADE,Engineering & Trades,Fabrication Worker,Related,4,Starter title-based mapping,
C0121,Q0028,641201,Bricklayer,LISTED TRADE,Construction & Building,Construction Artisan,Direct,5,Starter title-based mapping,
C0127,Q0028,641201,Bricklayer,LISTED TRADE,Construction & Building,Site Worker,Related,4,Starter title-based mapping,
C0120,Q0028,641201,Bricklayer,LISTED TRADE,Construction & Building,Building Maintenance Technician,Related,4,Starter title-based mapping,
C0121,Q0029,641502,Carpenter,LISTED TRADE,Construction & Building,Construction Artisan,Direct,5,Starter title-based mapping,
C0127,Q0029,641502,Carpenter,LISTED TRADE,Construction & Building,Site Worker,Related,4,Starter title-based mapping,
C0120,Q0029,641502,Carpenter,LISTED TRADE,Construction & Building,Building Maintenance Technician,Related,4,Starter title-based mapping,
C0121,Q0030,641501,Carpenter and Joiner,LISTED TRADE,Construction & Building,Construction Artisan,Direct,5,Starter title-based mapping,
C0127,Q0030,641501,Carpenter and Joiner,LISTED TRADE,Construction & Building,Site Worker,Related,4,Starter title-based mapping,
C0120,Q0030,641501,Carpenter and Joiner,LISTED TRADE,Construction & Building,Building Maintenance Technician,Related,4,Starter title-based mapping,
C0504,Q0031,662211,Coldset Rotary Offset Lithography Technician,LISTED TRADE,Other / Review,Coldset Rotary Offset Lithography Technician,Direct,5,Starter title-based mapping,Review career mapping
C0515,Q0032,662304,Craft Bookbinding Technician,LISTED TRADE,Other / Review,Craft Bookbinding Technician,Direct,5,Starter title-based mapping,Review career mapping
C0521,Q0033,711203,Diamond Cutter,LISTED TRADE,Other / Review,Diamond Cutter,Direct,5,Starter title-based mapping,Review career mapping
C0522,Q0034,661302,Diamond and Gemstone Setter,LISTED TRADE,Other / Review,Diamond and Gemstone Setter,Direct,5,Starter title-based mapping,Review career mapping
C0181,Q0035,653304,Diesel Fitter,LISTED TRADE,Engineering & Trades,Mechanical Fitter,Direct,5,Starter title-based mapping,
C0177,Q0035,653304,Diesel Fitter,LISTED TRADE,Engineering & Trades,Maintenance Fitter,Related,4,Starter title-based mapping,
C0188,Q0035,653304,Diesel Fitter,LISTED TRADE,Engineering & Trades,Plant Maintenance Technician,Related,4,Starter title-based mapping,
C0137,Q0036,653306,Diesel Mechanic,LISTED TRADE,Engineering & Trades,Automotive Technician,Direct,5,Starter title-based mapping,
C0185,Q0036,653306,Diesel Mechanic,LISTED TRADE,Engineering & Trades,Motor Mechanic,Related,4,Starter title-based mapping,
C0214,Q0036,653306,Diesel Mechanic,LISTED TRADE,Engineering & Trades,Workshop Technician,Related,4,Starter title-based mapping,
C0156,Q0037,671301,Electrical Line Mechanic,LISTED TRADE,Engineering & Trades,Electrician,Direct,5,Starter title-based mapping,
C0154,Q0037,671301,Electrical Line Mechanic,LISTED TRADE,Engineering & Trades,Electrical Technician,Related,4,Starter title-based mapping,
C0176,Q0037,671301,Electrical Line Mechanic,LISTED TRADE,Engineering & Trades,Maintenance Electrician,Related,4,Starter title-based mapping,
C0156,Q0038,671101,Electrician,LISTED TRADE,Engineering & Trades,Electrician,Direct,5,Starter title-based mapping,Qualification ID + NQF maps to multiple titles
C0154,Q0038,671101,Electrician,LISTED TRADE,Engineering & Trades,Electrical Technician,Related,4,Starter title-based mapping,Qualification ID + NQF maps to multiple titles
C0176,Q0038,671101,Electrician,LISTED TRADE,Engineering & Trades,Maintenance Electrician,Related,4,Starter title-based mapping,Qualification ID + NQF maps to multiple titles
C0158,Q0039,672104,Electronic Equipment Mechanician,LISTED TRADE,Engineering & Trades,Electronic Equipment Mechanician,Direct,5,Starter title-based mapping,
C0160,Q0039,672104,Electronic Equipment Mechanician,LISTED TRADE,Engineering & Trades,Engineering Assistant,Related,4,Starter title-based mapping,
C0533,Q0040,662104,Electronic Originator,LISTED TRADE,Other / Review,Electronic Originator,Direct,5,Starter title-based mapping,Review career mapping
C0121,Q0041,120663,Elementary Occupational Certificate: Builder's Worker,NQF LEVEL 02,Construction & Building,Construction Artisan,Direct,5,Starter title-based mapping,
C0127,Q0041,120663,Elementary Occupational Certificate: Builder's Worker,NQF LEVEL 02,Construction & Building,Site Worker,Related,4,Starter title-based mapping,
C0120,Q0041,120663,Elementary Occupational Certificate: Builder's Worker,NQF LEVEL 02,Construction & Building,Building Maintenance Technician,Related,4,Starter title-based mapping,
C0218,Q0042,122234,Elementary Occupational Certificate: Garden Worker,NQF LEVEL 02,Facilities & Cleaning,Gardener,Direct,5,Starter title-based mapping,
C0219,Q0042,122234,Elementary Occupational Certificate: Garden Worker,NQF LEVEL 02,Facilities & Cleaning,Grounds Maintenance Worker,Related,4,Starter title-based mapping,
C0217,Q0042,122234,Elementary Occupational Certificate: Garden Worker,NQF LEVEL 02,Facilities & Cleaning,Facilities Assistant,Related,4,Starter title-based mapping,
C0452,Q0043,121127,Elementary Occupational Certificate: Mining Team Leader,NQF LEVEL 02,Mining,Mining Operator,Direct,5,Starter title-based mapping,
C0453,Q0043,121127,Elementary Occupational Certificate: Mining Team Leader,NQF LEVEL 02,Mining,Mining Production Worker,Related,4,Starter title-based mapping,
C0451,Q0043,121127,Elementary Occupational Certificate: Mining Team Leader,NQF LEVEL 02,Mining,Mine Technician,Related,4,Starter title-based mapping,
C0164,Q0044,642702,Fitter and Turner,LISTED TRADE,Engineering & Trades,Fitter and Turner,Direct,5,Starter title-based mapping,Qualification ID + NQF maps to multiple titles; Qualification Title + NQF maps to multiple IDs
C0181,Q0044,642702,Fitter and Turner,LISTED TRADE,Engineering & Trades,Mechanical Fitter,Related,4,Starter title-based mapping,Qualification ID + NQF maps to multiple titles; Qualification Title + NQF maps to multiple IDs
C0175,Q0044,642702,Fitter and Turner,LISTED TRADE,Engineering & Trades,Machinist,Related,4,Starter title-based mapping,Qualification ID + NQF maps to multiple titles; Qualification Title + NQF maps to multiple IDs
C0164,Q0045,652302,Fitter and Turner,LISTED TRADE,Engineering & Trades,Fitter and Turner,Direct,5,Starter title-based mapping,Qualification Title + NQF maps to multiple IDs
C0181,Q0045,652302,Fitter and Turner,LISTED TRADE,Engineering & Trades,Mechanical Fitter,Related,4,Starter title-based mapping,Qualification Title + NQF maps to multiple IDs
C0175,Q0045,652302,Fitter and Turner,LISTED TRADE,Engineering & Trades,Machinist,Related,4,Starter title-based mapping,Qualification Title + NQF maps to multiple IDs
C0382,Q0046,653309,Forklift Mechanic,LISTED TRADE,Logistics & Supply Chain,Forklift Operator,Direct,5,Starter title-based mapping,
C0402,Q0046,653309,Forklift Mechanic,LISTED TRADE,Logistics & Supply Chain,Warehouse Operator,Related,4,Starter title-based mapping,
C0389,Q0046,653309,Forklift Mechanic,LISTED TRADE,Logistics & Supply Chain,Materials Handler,Related,4,Starter title-based mapping,
C0246,Q0047,88895,Foundational Learning Competence,NQF LEVEL 02,HR & Training,Foundational Learning Competence,Direct,5,Starter title-based mapping,
C0253,Q0047,88895,Foundational Learning Competence,NQF LEVEL 02,HR & Training,Training Administrator,Related,4,Starter title-based mapping,
C0573,Q0048,661301,Goldsmith,LISTED TRADE,Other / Review,Goldsmith,Direct,5,Starter title-based mapping,Review career mapping
C0576,Q0049,662105,Gravure Cylinder Preperation Technician,LISTED TRADE,Other / Review,Gravure Cylinder Preperation Technician,Direct,5,Starter title-based mapping,Review career mapping
C0015,Q0050,514101,Hairdresser,LISTED TRADE,Beauty & Personal Care,Hairdresser,Direct,5,Starter title-based mapping,
C0019,Q0050,514101,Hairdresser,LISTED TRADE,Beauty & Personal Care,Salon Stylist,Related,4,Starter title-based mapping,
C0012,Q0050,514101,Hairdresser,LISTED TRADE,Beauty & Personal Care,Beauty Practitioner,Related,4,Starter title-based mapping,
C0588,Q0051,662210,Heatset Rotary Offset Lithography Technician,LISTED TRADE,Other / Review,Heatset Rotary Offset Lithography Technician,Direct,5,Starter title-based mapping,Review career mapping
C0169,Q0052,653307,Heavy Equipment Mechanic,LISTED TRADE,Engineering & Trades,Heavy Equipment Mechanic,Direct,5,Starter title-based mapping,
C0160,Q0052,653307,Heavy Equipment Mechanic,LISTED TRADE,Engineering & Trades,Engineering Assistant,Related,4,Starter title-based mapping,
C0459,Q0053,120683,Higher Occupational Certificate: Administrative Attache,NQF LEVEL 05,Other / Review,Administrative Attache,Direct,5,Starter title-based mapping,Review career mapping
C0460,Q0054,121447,Higher Occupational Certificate: Advertiser,NQF LEVEL 05,Other / Review,Advertiser,Direct,5,Starter title-based mapping,Review career mapping
C0464,Q0055,122662,Higher Occupational Certificate: Animation Artist,NQF LEVEL 05,Other / Review,Animation Artist,Direct,5,Starter title-based mapping,Review career mapping
C0135,Q0056,121692,Higher Occupational Certificate: Architectural Draughtsperson,NQF LEVEL 05,Engineering & Trades,Architectural Draughtsperson,Direct,5,Starter title-based mapping,
C0160,Q0056,121692,Higher Occupational Certificate: Architectural Draughtsperson,NQF LEVEL 05,Engineering & Trades,Engineering Assistant,Related,4,Starter title-based mapping,
C0026,Q0057,121927,Higher Occupational Certificate: Business Banking Officer,NQF LEVEL 05,Business & Management,Business Banker,Direct,5,Starter title-based mapping,
C0096,Q0057,121927,Higher Occupational Certificate: Business Banking Officer,NQF LEVEL 05,Business & Management,Relationship Officer,Related,4,Starter title-based mapping,
C0031,Q0057,121927,Higher Occupational Certificate: Business Banking Officer,NQF LEVEL 05,Business & Management,Client Service Consultant,Related,4,Starter title-based mapping,
C0027,Q0058,121567,Higher Occupational Certificate: Business Development Officer,NQF LEVEL 05,Business & Management,Business Development Officer,Direct,5,Starter title-based mapping,
C0105,Q0058,121567,Higher Occupational Certificate: Business Development Officer,NQF LEVEL 05,Business & Management,Sales Executive,Related,4,Starter title-based mapping,
C0078,Q0058,121567,Higher Occupational Certificate: Business Development Officer,NQF LEVEL 05,Business & Management,Partnerships Coordinator,Related,4,Starter title-based mapping,
C0005,Q0059,121547,Higher Occupational Certificate: Environmental Practitioner,NQF LEVEL 05,Agriculture & Environment,Environmental Officer,Direct,5,Starter title-based mapping,
C0003,Q0059,121547,Higher Occupational Certificate: Environmental Practitioner,NQF LEVEL 05,Agriculture & Environment,Conservation Worker,Related,4,Starter title-based mapping,
C0007,Q0059,121547,Higher Occupational Certificate: Environmental Practitioner,NQF LEVEL 05,Agriculture & Environment,Field Officer,Related,4,Starter title-based mapping,
C0073,Q0060,121150,Higher Occupational Certificate: Human Resource Management Administrator,NQF LEVEL 05,Business & Management,Office Administrator,Direct,5,Starter title-based mapping,
C0022,Q0060,121150,Higher Occupational Certificate: Human Resource Management Administrator,NQF LEVEL 05,Business & Management,Administrative Assistant,Related,4,Starter title-based mapping,
C0075,Q0060,121150,Higher Occupational Certificate: Human Resource Management Administrator,NQF LEVEL 05,Business & Management,Operations Administrator,Related,4,Starter title-based mapping,
C0055,Q0061,120684,Higher Occupational Certificate: Immigration Officer,NQF LEVEL 05,Business & Management,Immigration Officer,Direct,5,Starter title-based mapping,
C0029,Q0061,120684,Higher Occupational Certificate: Immigration Officer,NQF LEVEL 05,Business & Management,Case Officer,Related,4,Starter title-based mapping,
C0023,Q0061,120684,Higher Occupational Certificate: Immigration Officer,NQF LEVEL 05,Business & Management,Administrative Officer,Related,4,Starter title-based mapping,
C0027,Q0062,120749,Higher Occupational Certificate: Information and Communication Technology: Business Development Consultant,NQF LEVEL 05,Business & Management,Business Development Officer,Direct,5,Starter title-based mapping,
C0105,Q0062,120749,Higher Occupational Certificate: Information and Communication Technology: Business Development Consultant,NQF LEVEL 05,Business & Management,Sales Executive,Related,4,Starter title-based mapping,
C0078,Q0062,120749,Higher Occupational Certificate: Information and Communication Technology: Business Development Consultant,NQF LEVEL 05,Business & Management,Partnerships Coordinator,Related,4,Starter title-based mapping,
C0441,Q0063,122664,Higher Occupational Certificate: Interactive Media Designer,NQF LEVEL 05,Media & Communications,Media Production Assistant,Direct,5,Starter title-based mapping,
C0430,Q0063,122664,Higher Occupational Certificate: Interactive Media Designer,NQF LEVEL 05,Media & Communications,Communications Officer,Related,4,Starter title-based mapping,
C0431,Q0063,122664,Higher Occupational Certificate: Interactive Media Designer,NQF LEVEL 05,Media & Communications,Content Creator,Related,4,Starter title-based mapping,
C0606,Q0064,121128,Higher Occupational Certificate: Landscape Designer,NQF LEVEL 05,Other / Review,Landscape Designer,Direct,5,Starter title-based mapping,Review career mapping
C0450,Q0065,119283,Higher Occupational Certificate: Mine Overseer,NQF LEVEL 05,Mining,Mine Overseer,Direct,5,Starter title-based mapping,
C0640,Q0066,122621,Higher Occupational Certificate: Motion Graphics Designer,NQF LEVEL 05,Other / Review,Motion Graphics Designer,Direct,5,Starter title-based mapping,Review career mapping
C0282,Q0067,121527,Higher Occupational Certificate: Occupational Health and Safety Practitioner,NQF LEVEL 05,Health & Social Services,Occupational Health and Safety Practitioner,Direct,5,Starter title-based mapping,
C0288,Q0067,121527,Higher Occupational Certificate: Occupational Health and Safety Practitioner,NQF LEVEL 05,Health & Social Services,Support Worker,Related,4,Starter title-based mapping,
C0065,Q0068,121888,Higher Occupational Certificate: Organisation and Methods Analyst (Work Study Officer),NQF LEVEL 05,Business & Management,Methods Analyst,Direct,5,Starter title-based mapping,
C0025,Q0068,121888,Higher Occupational Certificate: Organisation and Methods Analyst (Work Study Officer),NQF LEVEL 05,Business & Management,Business Analyst,Related,4,Starter title-based mapping,
C0076,Q0068,121888,Higher Occupational Certificate: Organisation and Methods Analyst (Work Study Officer),NQF LEVEL 05,Business & Management,Operations Analyst,Related,4,Starter title-based mapping,
C0795,Q0069,121691,Higher Occupational Certificate: Principal Real Estate Agent,NQF LEVEL 05,Real Estate & Property,Principal Real Estate Agent,Direct,5,Starter title-based mapping,
C0441,Q0070,122622,Higher Occupational Certificate: Radio and Multimedia Content Practitioner,NQF LEVEL 05,Media & Communications,Media Production Assistant,Direct,5,Starter title-based mapping,
C0430,Q0070,122622,Higher Occupational Certificate: Radio and Multimedia Content Practitioner,NQF LEVEL 05,Media & Communications,Communications Officer,Related,4,Starter title-based mapping,
C0431,Q0070,122622,Higher Occupational Certificate: Radio and Multimedia Content Practitioner,NQF LEVEL 05,Media & Communications,Content Creator,Related,4,Starter title-based mapping,
C0095,Q0071,120685,Higher Occupational Certificate: Refugee Status Determination Officer,NQF LEVEL 05,Business & Management,Refugee Status Determination Officer,Direct,5,Starter title-based mapping,
C0029,Q0071,120685,Higher Occupational Certificate: Refugee Status Determination Officer,NQF LEVEL 05,Business & Management,Case Officer,Related,4,Starter title-based mapping,
C0023,Q0071,120685,Higher Occupational Certificate: Refugee Status Determination Officer,NQF LEVEL 05,Business & Management,Administrative Officer,Related,4,Starter title-based mapping,
C0207,Q0072,120863,Higher Occupational Certificate: Solar Photovoltaic Standalone Service Technician,NQF LEVEL 05,Engineering & Trades,Solar PV Installer,Direct,5,Starter title-based mapping,
C0154,Q0072,120863,Higher Occupational Certificate: Solar Photovoltaic Standalone Service Technician,NQF LEVEL 05,Engineering & Trades,Electrical Technician,Related,4,Starter title-based mapping,
C0200,Q0072,120863,Higher Occupational Certificate: Solar Photovoltaic Standalone Service Technician,NQF LEVEL 05,Engineering & Trades,Renewable Energy Technician,Related,4,Starter title-based mapping,
C0713,Q0073,120748,Higher Occupational Certificate: Sound Operator,NQF LEVEL 05,Other / Review,Sound Operator,Direct,5,Starter title-based mapping,Review career mapping
C0595,Q0074,SP-230201,Hydrogen Fuel Cell System Practitioner,NQF LEVEL 05,Other / Review,Hydrogen Fuel Cell System Practitioner,Direct,5,Starter title-based mapping,Review career mapping
C0170,Q0075,672105,Instrument Mechanician,LISTED TRADE,Engineering & Trades,Instrument Mechanician,Direct,5,Starter title-based mapping,
C0160,Q0075,672105,Instrument Mechanician,LISTED TRADE,Engineering & Trades,Engineering Assistant,Related,4,Starter title-based mapping,
C0429,Q0076,121147,Intermediate Occupational Certificate: Baking and Confectionery Operator,NQF LEVEL 03,Media & Communications,Baking and Confectionery Operator,Direct,5,Starter title-based mapping,
C0215,Q0077,121689,Intermediate Occupational Certificate: Cleaning Practitioner,NQF LEVEL 03,Facilities & Cleaning,Cleaner,Direct,5,Starter title-based mapping,
C0217,Q0077,121689,Intermediate Occupational Certificate: Cleaning Practitioner,NQF LEVEL 03,Facilities & Cleaning,Facilities Assistant,Related,4,Starter title-based mapping,
C0221,Q0077,121689,Intermediate Occupational Certificate: Cleaning Practitioner,NQF LEVEL 03,Facilities & Cleaning,Housekeeping Worker,Related,4,Starter title-based mapping,
